ID,Date,Element,Data_Value
MX000014066,2009-09-02,TMAX,302
MX000014066,2012-03-09,TMAX,309
MX000014066,2009-10-23,TMIN,154
MX000014066,2014-04-11,TMIN,134
MX000014066,2013-02-09,TMIN,81
MX000014066,2010-09-10,TMIN,169
MX000014066,2014-04-11,TMAX,345
MX000014066,2014-11-05,TMAX,268
MX000014066,2010-10-06,TMAX,252
MX000014066,2007-11-13,TMAX,272
MX000014066,2011-11-26,TMAX,285
MX000014066,2015-01-29,TMIN,85
MX000014066,2009-08-05,TMAX,315
MX000014066,2014-12-14,TMIN,103
MX000014066,2015-11-20,TMIN,125
MX000014066,2014-07-01,TMIN,172
MX000014066,2015-11-20,TMAX,284
MX000014066,2005-03-30,TMAX,319
MX000014066,2008-09-23,TMAX,250
MX000014066,2012-08-10,TMAX,296
MX000014066,2015-01-29,TMAX,286
MX000014066,2013-02-26,TMAX,276
MX000014066,2012-08-10,TMIN,167
MX000014066,2009-10-06,TMIN,176
MX000014066,2013-02-26,TMIN,85
MX000014066,2009-10-06,TMAX,338
MX000014066,2005-03-30,TMIN,88
MX000014066,2008-09-23,TMIN,165
MX000014066,2012-12-16,TMIN,91
MX000014066,2005-02-17,TMIN,90
MX000014066,2013-11-21,TMIN,122
MX000014066,2015-04-14,TMAX,290
MX000014066,2007-11-14,TMAX,270
MX000014066,2011-11-25,TMIN,105
MX000014066,2007-09-26,TMAX,308
MX000014066,2012-12-16,TMAX,277
MX000014066,2012-11-15,TMIN,106
MX000014066,2012-07-29,TMIN,155
MX000014066,2012-07-29,TMAX,296
MX000014066,2011-11-25,TMAX,283
MX000014066,2015-02-28,TMIN,53
MX000014066,2011-11-26,TMIN,101
MX000014066,2012-09-04,TMAX,294
MX000014066,2008-07-18,TMAX,302
MX000014066,2014-12-12,TMIN,101
MX000014066,2007-09-04,TMAX,265
MX000014066,2015-11-12,TMAX,306
MX000014066,2013-11-04,TMAX,274
MX000014066,2012-09-04,TMIN,152
MX000014066,2009-09-02,TMIN,180
MX000014066,2007-09-26,TMIN,174
MX000014066,2011-11-14,TMIN,85
MX000014066,2014-04-30,TMIN,138
MX000014066,2014-12-14,TMAX,238
MX000014066,2011-08-02,TMIN,164
MX000014066,2011-08-02,TMAX,298
MX000014066,2007-11-13,TMIN,84
MX000014066,2014-10-24,TMAX,292
MX000014066,2015-05-24,TMAX,336
MX000014066,2013-03-11,TMAX,297
MX000014066,2013-11-04,TMIN,150
MX000014066,2007-07-03,TMIN,168
MX000014066,2012-11-15,TMAX,277
MX000014066,2013-02-24,TMAX,294
MX000014066,2010-09-10,TMAX,280
MX000014066,2013-02-24,TMIN,93
MX000014066,2008-07-18,TMIN,158
MX000014066,2005-02-17,TMAX,300
MX000014066,2015-04-14,TMIN,136
MX000014066,2014-07-01,TMAX,254
MX000014066,2015-05-08,TMIN,122
MX000014066,2014-09-13,TMIN,149
MX000014066,2011-01-06,TMIN,65
MX000014066,2015-04-10,TMIN,122
MX000014066,2008-03-20,TMIN,80
MX000014066,2015-06-04,TMAX,325
MX000014066,2015-06-04,TMIN,152
MX000014066,2015-03-20,TMIN,95
MX000014066,2013-12-12,TMAX,271
MX000014066,2013-02-01,TMAX,291
MX000014066,2013-02-01,TMIN,70
MX000014066,2015-04-10,TMAX,320
MX000014066,2009-04-04,TMIN,97
MX000014066,2011-01-06,TMAX,284
MX000014066,2010-08-06,TMAX,270
MX000014066,2011-01-04,TMIN,69
MX000014066,2010-08-06,TMIN,176
MX000014066,2013-02-15,TMIN,76
MX000014066,2008-05-09,TMAX,348
MX000014066,2010-08-26,TMIN,192
MX000014066,2013-12-12,TMIN,107
MX000014066,2005-05-22,TMAX,353
MX000014066,2010-08-26,TMAX,290
MX000014066,2008-05-09,TMIN,129
MX000014066,2013-09-21,TMAX,276
MX000014066,2007-12-19,TMAX,275
MX000014066,2013-02-15,TMAX,279
MX000014066,2007-03-23,TMAX,310
MX000014066,2013-09-21,TMIN,185
MX000014066,2007-03-23,TMIN,115
MX000014066,2009-04-04,TMAX,329
MX000014066,2012-03-06,TMAX,304
MX000014066,2012-07-19,TMIN,170
MX000014066,2012-03-06,TMIN,115
MX000014066,2012-07-19,TMAX,274
MX000014066,2007-11-17,TMIN,115
MX000014066,2007-11-16,TMIN,78
MX000014066,2015-08-25,TMAX,296
MX000014066,2013-08-25,TMIN,155
MX000014066,2015-11-05,TMIN,129
MX000014066,2014-03-07,TMAX,301
MX000014066,2008-04-17,TMAX,320
MX000014066,2013-11-22,TMAX,272
MX000014066,2012-02-16,TMIN,124
MX000014066,2012-02-16,TMAX,206
MX000014066,2008-04-17,TMIN,110
MX000014066,2008-10-06,TMAX,272
MX000014066,2008-10-06,TMIN,100
MX000014066,2013-08-25,TMAX,286
MX000014066,2007-09-20,TMAX,282
MX000014066,2013-02-02,TMAX,283
MX000014066,2011-03-04,TMIN,85
MX000014066,2012-11-26,TMIN,93
MX000014066,2012-11-26,TMAX,263
MX000014066,2005-09-06,TMAX,290
MX000014066,2005-09-06,TMIN,150
MX000014066,2012-03-03,TMIN,85
MX000014066,2012-03-03,TMAX,310
MX000014066,2015-04-07,TMIN,123
MX000014066,2007-11-17,TMAX,264
MX000014066,2013-02-02,TMIN,75
MX000014066,2005-06-27,TMIN,155
MX000014066,2007-11-22,TMIN,91
MX000014066,2013-11-08,TMAX,274
MX000014066,2013-08-04,TMAX,304
MX000014066,2013-08-04,TMIN,154
MX000014066,2010-10-23,TMAX,290
MX000014066,2015-03-03,TMAX,312
MX000014066,2014-09-03,TMAX,268
MX000014066,2014-10-03,TMIN,172
MX000014066,2015-03-03,TMIN,82
MX000014066,2011-02-22,TMAX,288
MX000014066,2013-11-08,TMIN,93
MX000014066,2015-07-27,TMAX,298
MX000014066,2012-01-02,TMAX,278
MX000014066,2015-09-24,TMIN,143
MX000014066,2014-10-03,TMAX,272
MX000014066,2011-02-22,TMIN,75
MX000014066,2011-07-23,TMAX,302
MX000014066,2014-09-09,TMIN,132
MX000014066,2011-07-23,TMIN,156
MX000014066,2015-01-17,TMAX,268
MX000014066,2012-01-02,TMIN,99
MX000014066,2015-01-17,TMIN,62
MX000014066,2014-09-03,TMIN,152
MX000014066,2010-11-27,TMAX,274
MX000014066,2011-08-01,TMAX,289
MX000014066,2010-11-27,TMIN,62
MX000014066,2007-11-16,TMAX,280
MX000014066,2005-10-02,TMIN,155
MX000014066,2011-08-01,TMIN,160
MX000014066,2015-02-27,TMAX,284
MX000014066,2008-07-31,TMAX,270
MX000014066,2006-11-16,TMAX,265
MX000014066,2006-11-16,TMIN,102
MX000014066,2010-06-07,TMIN,153
MX000014066,2007-10-11,TMAX,260
MX000014066,2015-04-07,TMAX,324
MX000014066,2011-09-30,TMIN,140
MX000014066,2007-10-11,TMIN,140
MX000014066,2005-05-22,TMIN,163
MX000014066,2015-03-20,TMAX,263
MX000014066,2008-12-19,TMIN,69
MX000014066,2008-03-03,TMAX,290
MX000014066,2008-03-03,TMIN,65
MX000014066,2005-04-12,TMIN,100
MX000014066,2014-09-26,TMIN,167
MX000014066,2013-02-05,TMIN,80
MX000014066,2012-03-27,TMIN,110
MX000014066,2007-12-19,TMIN,80
MX000014066,2013-11-20,TMIN,110
MX000014066,2013-11-20,TMAX,272
MX000014066,2013-02-05,TMAX,284
MX000014066,2012-01-18,TMIN,80
MX000014066,2009-12-17,TMIN,90
MX000014066,2009-12-17,TMAX,257
MX000014066,2010-10-01,TMIN,106
MX000014066,2012-01-18,TMAX,282
MX000014066,2008-12-19,TMAX,251
MX000014066,2014-09-09,TMAX,274
MX000014066,2015-09-01,TMAX,278
MX000014066,2014-09-26,TMAX,284
MX000014066,2015-09-01,TMIN,150
MX000014066,2014-01-08,TMIN,68
MX000014066,2013-04-09,TMAX,324
MX000014066,2014-01-08,TMAX,232
MX000014066,2013-04-09,TMIN,114
MX000014066,2007-09-20,TMIN,139
MX000014066,2011-09-30,TMAX,306
MX000014066,2010-10-01,TMAX,311
MX000014066,2015-11-05,TMAX,286
MX000014066,2012-12-08,TMIN,60
MX000014066,2008-11-19,TMIN,44
MX000014066,2013-03-21,TMAX,333
MX000014066,2012-02-07,TMIN,75
MX000014066,2009-11-11,TMAX,260
MX000014066,2009-11-11,TMIN,95
MX000014066,2015-10-28,TMIN,165
MX000014066,2011-09-07,TMIN,140
MX000014066,2007-12-11,TMAX,257
MX000014066,2013-03-21,TMIN,100
MX000014066,2012-04-19,TMIN,113
MX000014066,2011-09-07,TMAX,272
MX000014066,2009-04-24,TMIN,90
MX000014066,2010-08-15,TMAX,272
MX000014066,2010-11-03,TMIN,118
MX000014066,2014-05-28,TMAX,318
MX000014066,2010-09-13,TMAX,288
MX000014066,2011-01-04,TMAX,258
MX000014066,2014-05-28,TMIN,154
MX000014066,2011-08-11,TMAX,287
MX000014066,2011-05-26,TMIN,128
MX000014066,2015-08-25,TMIN,146
MX000014066,2011-08-11,TMIN,157
MX000014066,2015-05-13,TMIN,142
MX000014066,2015-05-13,TMAX,331
MX000014066,2010-09-13,TMIN,160
MX000014066,2011-07-16,TMAX,291
MX000014066,2012-01-05,TMIN,55
MX000014066,2014-03-08,TMAX,278
MX000014066,2008-04-28,TMIN,113
MX000014066,2015-06-15,TMAX,316
MX000014066,2010-05-31,TMIN,100
MX000014066,2012-01-05,TMAX,244
MX000014066,2008-12-02,TMAX,258
MX000014066,2010-05-31,TMAX,350
MX000014066,2009-02-25,TMIN,60
MX000014066,2012-09-27,TMAX,281
MX000014066,2008-10-01,TMAX,273
MX000014066,2008-09-16,TMIN,165
MX000014066,2009-04-10,TMIN,90
MX000014066,2012-09-27,TMIN,155
MX000014066,2014-09-13,TMAX,282
MX000014066,2014-02-15,TMAX,296
MX000014066,2009-02-25,TMAX,311
MX000014066,2008-12-07,TMIN,65
MX000014066,2012-04-04,TMAX,312
MX000014066,2012-10-24,TMAX,315
MX000014066,2011-09-13,TMAX,284
MX000014066,2008-02-05,TMIN,54
MX000014066,2008-02-05,TMAX,278
MX000014066,2009-04-10,TMAX,318
MX000014066,2012-10-24,TMIN,135
MX000014066,2011-01-19,TMAX,268
MX000014066,2012-04-19,TMAX,309
MX000014066,2013-08-31,TMIN,145
MX000014066,2012-04-18,TMIN,99
MX000014066,2012-04-04,TMIN,75
MX000014066,2007-04-25,TMIN,125
MX000014066,2007-04-25,TMAX,317
MX000014066,2013-12-09,TMIN,84
MX000014066,2009-04-24,TMAX,327
MX000014066,2006-11-21,TMIN,60
MX000014066,2006-11-21,TMAX,242
MX000014066,2013-12-09,TMAX,273
MX000014066,2013-08-31,TMAX,296
MX000014066,2008-12-07,TMAX,265
MX000014066,2005-04-03,TMAX,317
MX000014066,2014-12-05,TMAX,268
MX000014066,2009-02-23,TMIN,82
MX000014066,2014-05-22,TMAX,335
MX000014066,2014-05-22,TMIN,168
MX000014066,2015-05-23,TMAX,333
MX000014066,2015-10-30,TMIN,142
MX000014066,2011-07-16,TMIN,153
MX000014066,2007-10-12,TMIN,140
MX000014066,2012-04-08,TMAX,316
MX000014066,2015-09-21,TMAX,296
MX000014066,2013-12-10,TMIN,90
MX000014066,2015-10-30,TMAX,275
MX000014066,2008-11-19,TMAX,249
MX000014066,2011-07-14,TMAX,282
MX000014066,2012-02-19,TMIN,100
MX000014066,2005-06-27,TMAX,335
MX000014066,2011-07-14,TMIN,150
MX000014066,2007-10-12,TMAX,285
MX000014066,2006-07-08,TMIN,160
MX000014066,2006-07-08,TMAX,320
MX000014066,2015-04-21,TMIN,103
MX000014066,2006-02-08,TMIN,85
MX000014066,2014-03-08,TMIN,100
MX000014066,2015-05-23,TMIN,171
MX000014066,2007-01-26,TMAX,185
MX000014066,2012-02-19,TMAX,268
MX000014066,2013-11-22,TMIN,122
MX000014066,2014-03-07,TMIN,82
MX000014066,2007-01-26,TMIN,112
MX000014066,2006-02-08,TMAX,270
MX000014066,2013-12-10,TMAX,267
MX000014066,2014-12-05,TMIN,64
MX000014066,2014-12-09,TMIN,69
MX000014066,2006-06-23,TMIN,142
MX000014066,2015-06-01,TMIN,148
MX000014066,2012-06-23,TMIN,180
MX000014066,2012-06-23,TMAX,296
MX000014066,2013-01-21,TMAX,236
MX000014066,2013-02-17,TMIN,70
MX000014066,2013-01-21,TMIN,75
MX000014066,2010-08-15,TMIN,178
MX000014066,2015-10-28,TMAX,272
MX000014066,2008-03-20,TMAX,288
MX000014066,2015-06-01,TMAX,293
MX000014066,2013-11-18,TMAX,242
MX000014066,2013-11-18,TMIN,110
MX000014066,2007-11-22,TMAX,264
MX000014066,2013-02-17,TMAX,277
MX000014066,2007-12-11,TMIN,83
MX000014066,2005-04-03,TMIN,103
MX000014066,2008-04-28,TMAX,338
MX000014066,2009-06-05,TMAX,330
MX000014066,2012-12-08,TMAX,246
MX000014066,2006-02-14,TMIN,85
MX000014066,2006-02-14,TMAX,275
MX000014066,2012-12-25,TMAX,289
MX000014066,2015-04-21,TMAX,328
MX000014066,2012-12-25,TMIN,70
MX000014066,2009-06-05,TMIN,157
MX000014066,2012-04-08,TMIN,85
MX000014066,2015-06-15,TMIN,173
MX000014066,2009-02-23,TMAX,299
MX000014066,2006-06-23,TMAX,310
MX000014066,2014-12-09,TMAX,258
MX000014066,2011-05-26,TMAX,356
MX000014066,2013-02-14,TMIN,76
MX000014066,2011-03-04,TMAX,346
MX000014066,2007-10-06,TMAX,288
MX000014066,2007-10-06,TMIN,160
MX000014066,2012-04-25,TMAX,344
MX000014066,2015-10-07,TMAX,309
MX000014066,2011-08-25,TMAX,290
MX000014066,2011-02-19,TMIN,77
MX000014066,2012-04-25,TMIN,125
MX000014066,2006-02-15,TMIN,100
MX000014066,2014-03-26,TMAX,337
MX000014066,2011-02-19,TMAX,310
MX000014066,2010-11-23,TMIN,83
MX000014066,2014-05-01,TMIN,152
MX000014066,2014-05-01,TMAX,336
MX000014066,2013-01-14,TMIN,98
MX000014066,2013-01-14,TMAX,260
MX000014066,2013-02-10,TMAX,294
MX000014066,2015-11-01,TMIN,123
MX000014066,2015-10-07,TMIN,156
MX000014066,2006-02-15,TMAX,280
MX000014066,2015-05-10,TMIN,143
MX000014066,2015-05-10,TMAX,354
MX000014066,2009-12-04,TMIN,47
MX000014066,2010-12-13,TMAX,264
MX000014066,2005-12-09,TMIN,75
MX000014066,2009-12-04,TMAX,250
MX000014066,2012-06-27,TMAX,303
MX000014066,2010-07-23,TMIN,179
MX000014066,2005-12-09,TMAX,215
MX000014066,2014-01-30,TMAX,257
MX000014066,2009-02-27,TMAX,330
MX000014066,2013-02-10,TMIN,78
MX000014066,2014-03-26,TMIN,118
MX000014066,2012-03-21,TMIN,90
MX000014066,2011-06-09,TMAX,346
MX000014066,2011-07-20,TMAX,299
MX000014066,2009-05-08,TMAX,368
MX000014066,2009-05-08,TMIN,146
MX000014066,2010-11-04,TMAX,250
MX000014066,2007-10-09,TMIN,150
MX000014066,2011-06-20,TMIN,181
MX000014066,2011-06-20,TMAX,348
MX000014066,2011-06-09,TMIN,175
MX000014066,2013-07-17,TMIN,160
MX000014066,2007-03-05,TMIN,95
MX000014066,2011-10-07,TMIN,149
MX000014066,2008-07-16,TMAX,298
MX000014066,2015-02-04,TMAX,230
MX000014066,2010-11-04,TMIN,84
MX000014066,2007-03-05,TMAX,300
MX000014066,2014-06-19,TMIN,178
MX000014066,2014-06-19,TMAX,294
MX000014066,2015-02-04,TMIN,35
MX000014066,2009-01-14,TMAX,252
MX000014066,2014-09-19,TMIN,152
MX000014066,2013-12-08,TMAX,272
MX000014066,2008-07-16,TMIN,148
MX000014066,2012-03-21,TMAX,285
MX000014066,2010-11-23,TMAX,288
MX000014066,2011-08-25,TMIN,157
MX000014066,2015-05-19,TMIN,142
MX000014066,2013-07-17,TMAX,266
MX000014066,2014-09-19,TMAX,256
MX000014066,2007-10-10,TMIN,170
MX000014066,2010-07-01,TMIN,188
MX000014066,2007-03-22,TMAX,335
MX000014066,2012-06-27,TMIN,150
MX000014066,2008-07-09,TMAX,235
MX000014066,2015-05-19,TMAX,354
MX000014066,2014-12-21,TMAX,270
MX000014066,2012-10-28,TMAX,294
MX000014066,2009-02-17,TMAX,311
MX000014066,2012-11-22,TMAX,257
MX000014066,2012-11-22,TMIN,87
MX000014066,2013-04-01,TMAX,352
MX000014066,2015-10-27,TMAX,276
MX000014066,2014-08-29,TMIN,175
MX000014066,2012-04-02,TMAX,296
MX000014066,2014-08-29,TMAX,324
MX000014066,2009-01-14,TMIN,67
MX000014066,2015-07-28,TMIN,143
MX000014066,2012-03-16,TMAX,323
MX000014066,2006-05-16,TMIN,135
MX000014066,2013-03-26,TMAX,321
MX000014066,2011-10-27,TMIN,106
MX000014066,2013-04-23,TMIN,120
MX000014066,2011-08-28,TMAX,292
MX000014066,2011-10-27,TMAX,277
MX000014066,2008-11-27,TMAX,269
MX000014066,2013-04-01,TMIN,97
MX000014066,2012-03-16,TMIN,111
MX000014066,2013-04-23,TMAX,351
MX000014066,2010-07-23,TMAX,300
MX000014066,2015-09-05,TMIN,163
MX000014066,2010-01-20,TMAX,248
MX000014066,2010-01-20,TMIN,70
MX000014066,2013-06-23,TMIN,173
MX000014066,2014-05-15,TMIN,152
MX000014066,2014-09-27,TMAX,290
MX000014066,2008-07-09,TMIN,175
MX000014066,2005-02-16,TMAX,294
MX000014066,2014-05-15,TMAX,344
MX000014066,2009-10-08,TMAX,250
MX000014066,2005-02-16,TMIN,90
MX000014066,2008-11-13,TMAX,260
MX000014066,2007-03-22,TMIN,100
MX000014066,2011-06-14,TMIN,180
MX000014066,2014-12-13,TMIN,124
MX000014066,2014-10-11,TMIN,156
MX000014066,2008-11-13,TMIN,79
MX000014066,2011-06-07,TMIN,178
MX000014066,2012-07-21,TMIN,170
MX000014066,2011-06-07,TMAX,330
MX000014066,2014-12-13,TMAX,240
MX000014066,2012-07-21,TMAX,263
MX000014066,2005-09-30,TMAX,285
MX000014066,2005-08-08,TMAX,268
MX000014066,2009-09-29,TMIN,172
MX000014066,2015-09-30,TMAX,300
MX000014066,2005-08-08,TMIN,160
MX000014066,2005-09-30,TMIN,165
MX000014066,2014-10-11,TMAX,294
MX000014066,2005-02-28,TMAX,261
MX000014066,2008-08-22,TMIN,180
MX000014066,2014-09-27,TMIN,164
MX000014066,2015-09-05,TMAX,280
MX000014066,2005-02-28,TMIN,45
MX000014066,2008-08-22,TMAX,271
MX000014066,2009-09-29,TMAX,280
MX000014066,2013-06-23,TMAX,263
MX000014066,2015-09-21,TMIN,164
MX000014066,2011-09-02,TMIN,165
MX000014066,2007-12-13,TMAX,265
MX000014066,2014-03-06,TMAX,288
MX000014066,2014-03-06,TMIN,82
MX000014066,2012-04-02,TMIN,75
MX000014066,2006-03-03,TMIN,95
MX000014066,2006-03-03,TMAX,318
MX000014066,2015-07-14,TMIN,146
MX000014066,2011-05-18,TMIN,114
MX000014066,2007-09-27,TMAX,300
MX000014066,2007-09-27,TMIN,174
MX000014066,2006-12-08,TMIN,95
MX000014066,2015-10-15,TMAX,296
MX000014066,2006-06-21,TMAX,310
MX000014066,2013-01-29,TMIN,80
MX000014066,2014-08-19,TMIN,156
MX000014066,2014-01-31,TMAX,255
MX000014066,2015-07-14,TMAX,282
MX000014066,2014-08-19,TMAX,271
MX000014066,2013-01-29,TMAX,241
MX000014066,2006-06-21,TMIN,145
MX000014066,2005-02-24,TMIN,130
MX000014066,2011-07-20,TMIN,150
MX000014066,2007-05-25,TMAX,340
MX000014066,2014-01-17,TMAX,223
MX000014066,2014-01-31,TMIN,70
MX000014066,2014-10-18,TMIN,123
MX000014066,2014-10-18,TMAX,297
MX000014066,2014-04-26,TMAX,336
MX000014066,2015-08-19,TMAX,280
MX000014066,2014-04-26,TMIN,144
MX000014066,2015-10-15,TMIN,135
MX000014066,2006-04-18,TMAX,335
MX000014066,2012-11-11,TMAX,278
MX000014066,2006-12-08,TMAX,265
MX000014066,2011-04-04,TMIN,92
MX000014066,2014-09-18,TMAX,242
MX000014066,2014-09-18,TMIN,165
MX000014066,2007-10-04,TMIN,170
MX000014066,2009-10-26,TMAX,272
MX000014066,2010-11-24,TMIN,70
MX000014066,2011-08-12,TMAX,286
MX000014066,2009-05-13,TMIN,153
MX000014066,2014-01-09,TMAX,243
MX000014066,2014-01-09,TMIN,65
MX000014066,2009-05-13,TMAX,290
MX000014066,2009-02-09,TMIN,88
MX000014066,2011-03-01,TMIN,67
MX000014066,2012-05-22,TMAX,339
MX000014066,2011-03-01,TMAX,317
MX000014066,2012-05-22,TMIN,163
MX000014066,2014-07-24,TMIN,149
MX000014066,2007-05-25,TMIN,145
MX000014066,2012-11-17,TMIN,115
MX000014066,2012-11-11,TMIN,101
MX000014066,2012-11-17,TMAX,298
MX000014066,2015-04-04,TMAX,310
MX000014066,2014-07-25,TMAX,278
MX000014066,2015-04-04,TMIN,143
MX000014066,2013-05-03,TMAX,362
MX000014066,2014-07-25,TMIN,148
MX000014066,2013-01-16,TMAX,269
MX000014066,2013-01-16,TMIN,95
MX000014066,2011-07-10,TMAX,276
MX000014066,2011-07-10,TMIN,160
MX000014066,2006-04-18,TMIN,135
MX000014066,2014-01-17,TMIN,45
MX000014066,2005-02-24,TMAX,255
MX000014066,2008-05-13,TMAX,350
MX000014066,2015-04-11,TMAX,316
MX000014066,2012-12-27,TMIN,50
MX000014066,2012-12-27,TMAX,251
MX000014066,2014-01-14,TMAX,236
MX000014066,2011-03-09,TMIN,69
MX000014066,2014-01-14,TMIN,55
MX000014066,2010-11-26,TMAX,261
MX000014066,2011-03-09,TMAX,302
MX000014066,2013-05-30,TMAX,336
MX000014066,2012-09-03,TMIN,160
MX000014066,2011-03-30,TMAX,340
MX000014066,2015-04-11,TMIN,133
MX000014066,2011-03-30,TMIN,87
MX000014066,2011-10-07,TMAX,309
MX000014066,2009-06-13,TMAX,350
MX000014066,2008-04-04,TMAX,339
MX000014066,2010-08-31,TMAX,302
MX000014066,2010-12-13,TMIN,23
MX000014066,2009-06-13,TMIN,180
MX000014066,2010-08-31,TMIN,177
MX000014066,2012-09-03,TMAX,282
MX000014066,2014-02-11,TMAX,298
MX000014066,2013-09-22,TMAX,273
MX000014066,2007-12-13,TMIN,77
MX000014066,2013-09-22,TMIN,173
MX000014066,2015-11-11,TMIN,135
MX000014066,2011-09-02,TMAX,274
MX000014066,2015-11-11,TMAX,304
MX000014066,2013-05-30,TMIN,130
MX000014066,2010-11-26,TMIN,64
MX000014066,2014-04-01,TMIN,115
MX000014066,2013-10-01,TMIN,172
MX000014066,2010-07-01,TMAX,302
MX000014066,2009-11-14,TMIN,74
MX000014066,2009-11-04,TMIN,63
MX000014066,2015-05-08,TMAX,348
MX000014066,2009-11-14,TMAX,260
MX000014066,2009-11-04,TMAX,282
MX000014066,2006-08-22,TMIN,156
MX000014066,2005-02-08,TMIN,55
MX000014066,2006-08-22,TMAX,276
MX000014066,2005-02-08,TMAX,272
MX000014066,2009-02-27,TMIN,85
MX000014066,2011-04-26,TMAX,330
MX000014066,2005-03-14,TMAX,292
MX000014066,2007-10-09,TMAX,295
MX000014066,2011-05-30,TMAX,382
MX000014066,2011-04-26,TMIN,109
MX000014066,2013-10-01,TMAX,292
MX000014066,2013-10-29,TMIN,135
MX000014066,2006-04-14,TMAX,340
MX000014066,2006-04-14,TMIN,135
MX000014066,2013-10-29,TMAX,290
MX000014066,2011-12-22,TMIN,73
MX000014066,2012-06-21,TMIN,146
MX000014066,2012-06-21,TMAX,284
MX000014066,2011-05-18,TMAX,348
MX000014066,2014-01-30,TMIN,70
MX000014066,2007-10-10,TMAX,280
MX000014066,2014-02-11,TMIN,81
MX000014066,2008-05-13,TMIN,140
MX000014066,2014-04-01,TMAX,323
MX000014066,2005-03-14,TMIN,75
MX000014066,2006-11-02,TMIN,110
MX000014066,2005-02-02,TMAX,233
MX000014066,2005-02-02,TMIN,110
MX000014066,2015-11-07,TMIN,147
MX000014066,2012-05-05,TMAX,346
MX000014066,2007-03-03,TMIN,75
MX000014066,2015-04-27,TMIN,142
MX000014066,2011-01-07,TMAX,283
MX000014066,2014-01-10,TMIN,50
MX000014066,2014-01-10,TMAX,249
MX000014066,2009-05-20,TMIN,148
MX000014066,2006-06-22,TMAX,310
MX000014066,2015-09-12,TMIN,160
MX000014066,2007-03-03,TMAX,320
MX000014066,2015-04-27,TMAX,310
MX000014066,2008-04-11,TMIN,94
MX000014066,2008-04-11,TMAX,330
MX000014066,2013-02-14,TMAX,298
MX000014066,2012-07-30,TMAX,277
MX000014066,2015-04-09,TMIN,122
MX000014066,2013-10-19,TMAX,274
MX000014066,2013-10-19,TMIN,141
MX000014066,2015-03-08,TMIN,120
MX000014066,2012-05-05,TMIN,165
MX000014066,2015-03-08,TMAX,288
MX000014066,2007-04-23,TMIN,125
MX000014066,2015-04-09,TMAX,312
MX000014066,2011-03-02,TMAX,322
MX000014066,2008-08-29,TMAX,260
MX000014066,2013-02-23,TMAX,284
MX000014066,2011-03-02,TMIN,95
MX000014066,2007-04-23,TMAX,334
MX000014066,2012-04-14,TMIN,110
MX000014066,2008-08-29,TMIN,170
MX000014066,2012-07-09,TMAX,290
MX000014066,2006-08-16,TMAX,275
MX000014066,2013-04-07,TMIN,121
